Word,Pron_NoStress
a,e
Aaron,Er@n
aback,@bak
abacus,ab@k@s
abandon,@bant@n
abandoned,@bant@nd
abandoning,@bant@nIN
abandonment,@bant@nm@nt
abase,@bes
abasement,@besm@nt
abash,@baS
abate,@bet
abated,@bet@d
abbess,ab@s
abbey,abi
abbot,ab@t
abbreviate,@briviet
abbreviated,@briviet@d
abbreviation,@brivieSn
abbreviations,@brivieSnz
abdicate,abd@ket
abdomen,abd@m@n
abdominal,abdAm@nL
abduct,@bdVkt
abduction,@bdVkSn
Abe,eb
abed,@bEd
Abel,ebL
aberrant,@bEr@nt
aberration,ab#reSn
aberrations,ab#reSnz
abet,@bEt
abetted,@bEt@d
abeyance,@be@ns
abhor,@bhOr
abhorred,@bhOrd
abhorrent,@bhOr@nt
abide,@b!d
abides,@b!dz
abiding,@b!tIN
Abigail,ab@gel
abilities,@bIl@tiz
ability,@bIl@ti
abject,abJEkt
ablaze,@blez
able,ebL
ably,ebli
abnormal,abnOrmL
abnormalities,abnOrmal@tiz
abnormality,abnOrmal@ti
abnormally,abnOrmLi
aboard,@bOrd
abode,@bod
abolish,@bAlIS
abolished,@bAlISt
abolition,ab@lISn
abolitionist,ab@lISnIst
abolitionists,ab@lISnIsts
abominable,@bAm@n@bL
abominate,@bAm@net
aboriginal,ab#rIJ@nL
aborigine,ab#rIJ@ni
aborigines,ab#rIJ@niz
abort,@bOrt
abortion,@bOrSn
abortionist,@bOrSnIst
abortions,@bOrSnz
abortive,@bOrtIv
abound,@b0nd
abounded,@b0nt@d
abounding,@b0ntIN
abounds,@b0ndz
about,@b0t
above,@bVv
aboveground,@bVvgr0nd
abracadabra,abr@k@dabr@
Abraham,ebr@ham
abrasion,@breZn
abrasive,@bresIv
abreast,@brEst
abridged,@brIJd
abridgment,@brIJm@nt
abroad,@brOd
abrogate,abr@get
abrogated,abr@get@d
abrupt,@brVpt
abruptly,@brVptli
abruptness,@brVptn@s
abscess,absEs
abscesses,absEs@z
abscissa,absIs@
abscond,@bskAnd
absence,absns
absences,absns@z
absent,absnt
absented,absEnt@d
absentee,absnti
absenteeism,absntiIzm
absently,absntli
absentmindedly,absntm!nt@dli
absinth,absInT
absolute,abs@lut
absolutely,abs@lutli
absoluteness,abs@lutn@s
absolutes,abs@luts
absolution,abs@luSn
absolutism,abs@lutIzm
absolve,@bzAlv
absorb,@bzOrb
absorbed,@bzOrbd
absorbency,@bzOrb@nsi
absorbent,@bzOrb@nt
absorber,@bzOrb#
absorbing,@bzOrbIN
absorbs,@bzOrbz
absorption,@bzOrpSn
absorptions,@bzOrpSnz
absorptive,@bzOrptIv
abstain,@bsten
abstaining,@bstenIN
abstention,@bstEnSn
abstinence,abst@n@ns
abstinent,abst@n@nt
abstract,abstrakt
abstracted,@bstrakt@d
abstractedness,@bstrakt@dn@s
abstracting,@bstraktIN
abstraction,@bstrakSn
abstractionism,abstrakS@nIz@m
abstractionists,@bstrakSnIsts
abstractions,@bstrakSnz
abstractive,abstraktIv
abstractly,abstraktli
abstractors,abstrakt#z
abstracts,abstrakts
abstruse,@bstrus
absurd,@bs#d
absurdities,@bs#t@tiz
absurdity,@bs#t@ti
absurdly,@bs#dli
abundance,@bVnt@ns
abundant,@bVnt@nt
abuse,@bjuz
abused,@bjuzd
abuses,@bjuz@z
abusive,@bjusIv
abut,@bVt
abutment,@bVtm@nt
abutments,@bVtm@nts
abysmal,@bIzmL
abyss,@bIs
acacia,@keS@
academic,ak@dEmIk
academically,ak@dEmIkli
academicianship,@kat@mISnSIp
academics,ak@dEmIks
academies,@kat@miz
academy,@kat@mi
Acadia,@keti@
Acapulco,ak@pUlko
accede,@ksid
acceded,@ksit@d
accelerando,aksEl#rAnto
accelerate,@ksEl#ret
accelerated,@ksEl#ret@d
accelerating,@ksEl#retIN
acceleration,@ksEl#reSn
accelerations,@ksEl#reSnz
