"","Ortho","Phono","Length","LogFreq","meanRT","accuracy"
"1","a","e",1,16.18,860.814814814815,0.964285714285714
"2","Aaron","Er@n",5,9.29,680.862068965517,0.966666666666667
"3","aback","@bak",5,5.96,634.464285714286,0.96551724137931
"4","abacus","ab@k@s",6,6.24,732.777777777778,0.6
"5","abandon","@bant@n",7,8.23,623.962962962963,1
"6","abandoned","@bant@nd",9,8.55,710.607142857143,0.96551724137931
"7","abandoning","@bant@nIN",10,6.91,1001.34482758621,0.935483870967742
"8","abandonment","@bant@nm@nt",11,6.67,963.4,0.967741935483871
"9","abase","@bes",5,3.4,640.208333333333,0.857142857142857
"10","abasement","@besm@nt",9,1.95,833.793103448276,0.966666666666667
"11","abash","@baS",5,0,621.064516129032,0.939393939393939
"12","abate","@bet",5,5.63,661.464285714286,0.96551724137931
"13","abated","@bet@d",6,4.97,691.444444444444,0.9
"14","abbess","ab@s",6,3.5,797,0.466666666666667
"15","abbey","abi",5,7.73,679.52,0.892857142857143
"16","abbot","ab@t",5,6.42,758.791666666667,0.827586206896552
"17","abbreviate","@briviet",10,5.31,708,0.96551724137931
"18","abbreviated","@briviet@d",11,7.1,776.793103448276,1
"19","abbreviation","@brivieSn",12,7.55,709.758620689655,1
"20","abbreviations","@brivieSnz",13,7.82,751.185185185185,1
"21","abdicate","abd@ket",8,4.77,909.04347826087,0.821428571428571
"22","abdomen","abd@m@n",7,7.15,758.833333333333,0.967741935483871
"23","abdominal","abdAm@nL",9,6.75,1007.70833333333,0.857142857142857
"24","abduct","@bdVkt",6,5.19,711.066666666667,1
"25","abduction","@bdVkSn",9,7.6,815.3125,0.941176470588235
"26","Abe","eb",3,7.12,631.896551724138,1
"27","abed","@bEd",4,4.96,631.92,0.925925925925926
"28","Abel","ebL",4,6.92,836.548387096774,0.96875
"29","aberrant","@bEr@nt",8,5.11,815.181818181818,0.733333333333333
"30","aberration","ab#reSn",10,6.32,904.620689655172,1
"31","aberrations","ab#reSnz",11,5.7,829.625,0.827586206896552
"32","abet","@bEt",4,4.39,611.913043478261,0.821428571428571
"33","abetted","@bEt@d",7,4.88,661.16,0.862068965517241
"34","abeyance","@be@ns",8,3.58,1145.26666666667,0.517241379310345
"35","abhor","@bhOr",5,5.95,789,0.785714285714286
"36","abhorred","@bhOrd",8,4.47,812.736842105263,0.655172413793103
"37","abhorrent","@bhOr@nt",9,5.9,768.4,0.666666666666667
"38","abide","@b!d",5,7.58,663.40625,1
"39","abides","@b!dz",6,6.09,726.034482758621,1
"40","abiding","@b!tIN",7,7.22,643.703703703704,0.931034482758621
"41","Abigail","ab@gel",7,6.54,851.928571428571,0.96551724137931
"42","abilities","@bIl@tiz",9,9.11,738.827586206897,0.966666666666667
"43","ability","@bIl@ti",7,10.95,601.166666666667,1
"44","abject","abJEkt",6,6.22,770,0.933333333333333
"45","ablaze","@blez",6,5.04,640.730769230769,0.896551724137931
"46","able","ebL",4,12.08,631.620689655172,1
"47","ably","ebli",4,5.55,776,0.862068965517241
"48","abnormal","abnOrmL",8,7.7,686.785714285714,0.96551724137931
"49","abnormalities","abnOrmal@tiz",13,6.47,729.310344827586,1
"50","abnormality","abnOrmal@ti",11,5.67,707.074074074074,0.9
"51","abnormally","abnOrmLi",10,5.92,658.230769230769,0.928571428571429
"52","aboard","@bOrd",6,8.22,614.88,0.892857142857143
"53","abode","@bod",5,6.19,708.884615384615,0.866666666666667
"54","abolish","@bAlIS",7,7.38,654.758620689655,1
"55","abolished","@bAlISt",9,7.28,740.5,1
"56","abolition","ab@lISn",9,6.72,957.875,0.857142857142857
"57","abolitionist","ab@lISnIst",12,4.9,955.692307692308,0.866666666666667
"58","abolitionists","ab@lISnIsts",13,4.61,879.84,0.862068965517241
"59","abominable","@bAm@n@bL",10,6.16,1020.04347826087,0.741935483870968
