Epoch,Ortho,Phono,Length,Probability,MeanRT,Trained_Count,Cosine_Similarity,Mean_Squared_Error,Euclidean_Distance,Cross_Entropy,Exported_Pronunciation,Accuracy_Max_CS,Accuracy_Min_MSE,Accuracy_Min_ED,Accuracy_Min_CE,Accuracy_Pronunciation,Hidden_Cosine_Similarity,Hidden_Mean_Squared_Error,Hidden_Euclidean_Distance,Hidden_Cross_Entropy
None,beed,bid,4,None,None,None,0.99999744,4.42E-06,0.03472322,0.000237635,bid__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.496731,0.698365,40.966064,12.499218
None,beld,bEld,4,None,None,None,0.99999624,5.68E-06,0.03936198,0.000230157,bEld_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.349695,0.84734726,48.899364,13.46541
None,bink,bINk,4,None,None,None,1,1.43E-08,0.001979241,2.11E-05,bINk_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.35039,0.8225331,47.48717,13.041292
None,bleam,blim,5,None,None,None,0.9999995,8.03E-07,0.0148083,0.000154966,blim_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.401133,0.777341,46.52725,12.907545
None,bort,bort,4,None,None,None,0.9976265,0.003664748,1.0002381,0.03102239,bOrt_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.401917,0.7896019,47.422783,13.061101
None,brobe,brob,5,None,None,None,0.999772,0.000352512,0.31021893,0.001764517,brob_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.310242,0.8708476,49.31301,13.669597
None,cath,kAT,4,None,None,None,0.9970762,0.00474916,1.1386486,0.021802858,kaD__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.45915,0.73943275,42.37181,12.605135
None,cath,kaT,4,None,None,None,0.99930054,0.001133197,0.55620396,0.003334984,kaD__________,TRUE,TRUE,TRUE,TRUE,FALSE,11.45915,0.73943275,42.37181,12.605135
None,cobe,kob,4,None,None,None,0.99999875,2.04E-06,0.023620663,0.000258516,kob__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.389593,0.7550909,44.39002,12.557269
None,dold,dold,4,None,None,None,0.9998657,0.000211243,0.24014424,0.001186027,dold_________,FALSE,FALSE,FALSE,FALSE,TRUE,11.328389,0.8663052,48.886612,13.521144
None,dold,dald,4,None,None,None,0.98943,0.016464973,2.1201267,0.08349744,dold_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.328389,0.8663052,48.886612,13.521144
None,doon,dun,4,None,None,None,0.9999615,6.50E-05,0.1332496,0.000879724,dun__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.418495,0.76374084,43.09795,12.670331
None,dore,dor,4,None,None,None,0.9978905,0.003535444,0.98243386,0.014922651,dOr__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.456293,0.72893775,42.468132,12.664904
None,dreed,drid,5,None,None,None,0.99999833,2.70E-06,0.027132027,0.000169361,drid_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.4675045,0.7185106,43.667828,12.816023
None,feal,fil,4,None,None,None,0.9999841,2.68E-05,0.085503526,0.000600343,fil__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.499156,0.6908958,40.785347,12.290427
None,gode,god,4,None,None,None,0.99977386,0.000375818,0.32030967,0.001778602,god__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.366613,0.7810289,44.97435,12.746613
None,grool,grul,5,None,None,None,0.99951756,0.000753418,0.4535229,0.002769182,grul_________,TRUE,TRUE,TRUE,TRUE,TRUE,11.362537,0.8023375,47.398685,13.002092
None,grool,grUl,5,None,None,None,0.9971684,0.004416404,1.0980339,0.050269824,grul_________,FALSE,FALSE,FALSE,FALSE,FALSE,11.362537,0.8023375,47.398685,13.002092
None,hean,hin,4,None,None,None,0.9999815,3.03E-05,0.09093395,0.000913246,hin__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.505875,0.6813992,41.33758,12.247109
None,heef,hif,4,None,None,None,0.99966115,0.000550538,0.38768125,0.004114384,hif__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.521962,0.66051525,40.061935,12.1708765
None,hode,hod,4,None,None,None,0.9998867,0.000186207,0.22546484,0.002044158,hod__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.426328,0.7353205,43.354485,12.442495
None,hoil,hYl,4,None,None,None,0.999277,0.001203745,0.57325584,0.004096726,hol__________,FALSE,FALSE,FALSE,FALSE,FALSE,11.53348,0.6702351,40.35698,12.2291155
None,lail,lel,4,None,None,None,0.99976844,0.000390895,0.32667175,0.001626755,lel__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.507217,0.6981179,40.446537,12.600765
None,lole,lol,4,None,None,None,0.9999853,2.52E-05,0.083017305,0.000561811,lol__________,TRUE,TRUE,TRUE,TRUE,TRUE,11.422374,0.758723,43.833344,12.85993
None,meak,mik,4,None,None,None,0.99836284,0.002692791,0.8573984,0.007301604,mik__________,FALSE,FALSE,FALSE,FALSE,TRUE,11.4571705,0.73045665,41.928986,12.849808
