,Ortho,Phono,Length,LogFreq,meanRT
1,a,e,1,16.18,860.8148148
2,Aaron,Er@n,5,9.29,680.862069
3,aback,@bak,5,5.96,634.4642857
4,abacus,ab@k@s,6,6.24,732.7777778
5,abandon,@bant@n,7,8.23,623.962963
6,abandoned,@bant@nd,9,8.55,710.6071429
7,abandoning,@bant@nIN,10,6.91,1001.344828
8,abandonment,@bant@nm@nt,11,6.67,963.4
9,abase,@bes,5,3.4,640.2083333
10,abasement,@besm@nt,9,1.95,833.7931034
11,abash,@baS,5,0,621.0645161
12,abate,@bet,5,5.63,661.4642857
13,abated,@bet@d,6,4.97,691.4444444
14,abbess,ab@s,6,3.5,797
15,abbey,abi,5,7.73,679.52
16,abbot,ab@t,5,6.42,758.7916667
17,abbreviate,@briviet,10,5.31,708
18,abbreviated,@briviet@d,11,7.1,776.7931034
19,abbreviation,@brivieSn,12,7.55,709.7586207
21,abdicate,abd@ket,8,4.77,909.0434783
22,abdomen,abd@m@n,7,7.15,758.8333333
23,abdominal,abdAm@nL,9,6.75,1007.708333
24,abduct,@bdVkt,6,5.19,711.0666667
25,abduction,@bdVkSn,9,7.6,815.3125
26,Abe,eb,3,7.12,631.8965517
27,abed,@bEd,4,4.96,631.92
28,Abel,ebL,4,6.92,836.5483871
29,aberrant,@bEr@nt,8,5.11,815.1818182
30,aberration,ab#reSn,10,6.32,904.6206897
31,aberrations,ab#reSnz,11,5.7,829.625
32,abet,@bEt,4,4.39,611.9130435
33,abetted,@bEt@d,7,4.88,661.16
34,abeyance,@be@ns,8,3.58,1145.266667
35,abhor,@bhOr,5,5.95,789
36,abhorred,@bhOrd,8,4.47,812.7368421
37,abhorrent,@bhOr@nt,9,5.9,768.4
38,abide,@b!d,5,7.58,663.40625
39,abides,@b!dz,6,6.09,726.0344828
40,abiding,@b!tIN,7,7.22,643.7037037
41,Abigail,ab@gel,7,6.54,851.9285714
42,abilities,@bIl@tiz,9,9.11,738.8275862
43,ability,@bIl@ti,7,10.95,601.1666667
44,abject,abJEkt,6,6.22,770
45,ablaze,@blez,6,5.04,640.7307692
46,able,ebL,4,12.08,631.6206897
47,ably,ebli,4,5.55,776
48,abnormal,abnOrmL,8,7.7,686.7857143
50,abnormality,abnOrmal@ti,11,5.67,707.0740741
51,abnormally,abnOrmLi,10,5.92,658.2307692
52,aboard,@bOrd,6,8.22,614.88
53,abode,@bod,5,6.19,708.8846154
54,abolish,@bAlIS,7,7.38,654.7586207
55,abolished,@bAlISt,9,7.28,740.5
56,abolition,ab@lISn,9,6.72,957.875
57,abolitionist,ab@lISnIst,12,4.9,955.6923077
59,abominable,@bAm@n@bL,10,6.16,1020.043478
60,abominate,@bAm@net,9,1.1,982.8
61,aboriginal,ab#rIJ@nL,10,7.29,1027.384615
62,aborigine,ab#rIJ@ni,9,4.26,1044.25
63,aborigines,ab#rIJ@niz,10,6.24,948.1818182
64,abort,@bOrt,5,7.93,585.7857143
65,abortion,@bOrSn,8,9.73,643.3571429
66,abortionist,@bOrSnIst,11,5.33,859.6666667
67,abortions,@bOrSnz,9,8.23,649.0344828
68,abortive,@bOrtIv,8,5.36,718.9655172
69,abound,@b0nd,6,6.97,581.8928571
70,abounded,@b0nt@d,8,4.36,697.3461538
71,abounding,@b0ntIN,9,4.61,656
72,abounds,@b0ndz,7,5.75,613.5
73,about,@b0t,5,14.08,604.8064516
74,above,@bVv,5,12.09,588.1612903
75,aboveground,@bVvgr0nd,11,2.94,779.2142857
76,abracadabra,abr@k@dabr@,11,4.29,1031.961538
77,Abraham,ebr@ham,7,8.25,747.4642857
78,abrasion,@breZn,8,5.52,793.1481481
79,abrasive,@bresIv,8,6.36,647.8928571
80,abreast,@brEst,7,6.2,853.6428571
81,abridged,@brIJd,8,6.68,759.862069
82,abridgment,@brIJm@nt,10,3.74,834.4444444
83,abroad,@brOd,6,8.7,630.1034483
84,abrogate,abr@get,8,4.61,1330.263158
85,abrogated,abr@get@d,9,4.85,851.8333333
86,abrupt,@brVpt,6,6.58,640.7666667
87,abruptly,@brVptli,8,7.11,679.0645161
88,abruptness,@brVptn@s,10,3.14,765.5357143
89,abscess,absEs,7,4.56,793.4090909
90,abscesses,absEs@z,9,4.69,997.55
91,abscissa,absIs@,8,2.89,785.8888889
92,abscond,@bskAnd,7,2.83,790.952381
93,absence,absns,7,8.9,685.6206897
94,absences,absns@z,8,4.96,845.6129032
95,absent,absnt,6,8.01,610.2666667
96,absented,absEnt@d,8,1.39,807.2692308
97,absentee,absnti,8,5.02,671.0869565
98,absenteeism,absntiIzm,11,4.36,997.5416667
99,absently,absntli,8,5.25,732.9285714
101,absinth,absInT,7,2.08,858.6363636
102,absolute,abs@lut,8,9.73,582.8387097
103,absolutely,abs@lutli,10,10.52,678.1034483
104,absoluteness,abs@lutn@s,12,3.14,709.2580645
105,absolutes,abs@luts,9,6.38,666.5
106,absolution,abs@luSn,10,4.94,670.9655172
107,absolutism,abs@lutIzm,10,5.28,947.5833333
108,absolve,@bzAlv,7,5.41,666.5
109,absorb,@bzOrb,6,7.93,724.0714286
110,absorbed,@bzOrbd,8,7.99,710.1851852
111,absorbency,@bzOrb@nsi,10,4.41,791.7777778
112,absorbent,@bzOrb@nt,9,5.26,817.8928571
113,absorber,@bzOrb#,8,4.96,771.7777778
114,absorbing,@bzOrbIN,9,6.84,694.2758621
115,absorbs,@bzOrbz,7,6.43,685.6785714
116,absorption,@bzOrpSn,10,7.46,709.5862069
117,absorptions,@bzOrpSnz,11,2.4,811.1333333
118,absorptive,@bzOrptIv,10,3.47,864.5
119,abstain,@bsten,7,6.87,731.8148148
120,abstaining,@bstenIN,10,5.25,856.137931
121,abstention,@bstEnSn,10,4.28,942.1333333
122,abstinence,abst@n@ns,10,6.89,713.8148148
123,abstinent,abst@n@nt,9,4.29,910.68
124,abstract,abstrakt,8,9.06,624.0689655
125,abstracted,@bstrakt@d,10,5.56,724.9032258
127,abstracting,@bstraktIN,11,4.73,741.1785714
128,abstraction,@bstrakSn,11,7.38,717.6774194
131,abstractions,@bstrakSnz,12,6.24,800.6071429
132,abstractive,abstraktIv,11,1.95,768.7142857
133,abstractly,abstraktli,10,4.96,729.2962963
134,abstractors,abstrakt#z,11,0,744.4444444
135,abstracts,abstrakts,9,8.32,640.1724138
136,abstruse,@bstrus,8,5.06,1034.944444
137,absurd,@bs#d,6,8.51,645.7857143
138,absurdities,@bs#t@tiz,11,5.7,832.76
139,absurdity,@bs#t@ti,9,6.99,751.4666667
140,absurdly,@bs#dli,8,5.76,695
141,abundance,@bVnt@ns,9,7.51,629.8214286
142,abundant,@bVnt@nt,8,7.23,629.2857143
143,abuse,@bjuz,5,10.16,583
144,abused,@bjuzd,6,8.71,665.3571429
145,abuses,@bjuz@z,6,8.11,663.1428571
146,abusive,@bjusIv,7,8.17,814.3793103
147,abut,@bVt,4,5.56,767.6
148,abutment,@bVtm@nt,8,2.94,1102.642857
149,abutments,@bVtm@nts,9,2.89,1167.1875
150,abysmal,@bIzmL,7,6.43,780.7407407
151,abyss,@bIs,5,8.35,665.1785714
152,acacia,@keS@,6,5.36,970.2222222
153,academic,ak@dEmIk,8,9.78,709.3
154,academically,ak@dEmIkli,12,6.59,743.8928571
156,academics,ak@dEmIks,9,7.5,638.2413793
157,academies,@kat@miz,9,6.87,885.0588235
158,academy,@kat@mi,7,9.4,777
159,Acadia,@keti@,6,5.72,892.0909091
160,Acapulco,ak@pUlko,8,5.19,886.5833333
161,accede,@ksid,6,5,779
162,acceded,@ksit@d,7,4.13,837.4090909
163,accelerando,aksEl#rAnto,11,1.95,1151.416667
164,accelerate,@ksEl#ret,10,7.77,705.0645161
165,accelerated,@ksEl#ret@d,11,8.12,764.6428571
166,accelerating,@ksEl#retIN,12,6.94,864.962963
167,acceleration,@ksEl#reSn,12,8.34,763.9333333
169,accelerator,@ksEl#ret#,11,8.55,748.2413793
170,accelerators,@ksEl#ret#z,12,7.29,745.7142857
173,accent,aksEnt,6,8.56,704.1428571
174,accented,aksEnt@d,8,7.07,860.0909091
175,accenting,aksEntIN,9,3.99,915.5217391
176,accents,aksEnts,7,7.49,668.9285714
177,accentual,aksEnCu@l,9,0,915.4583333
178,accentuate,@ksEnCuet,10,5.08,958.2142857
179,accentuated,@ksEnCuet@d,11,5.26,1018.692308
180,accentuates,@ksEnCuets,11,4.04,842.0769231
181,accept,@ksEpt,6,10.81,634
182,acceptable,@ksEpt@bL,10,9.7,731.7096774
183,acceptance,@ksEpt@ns,10,9.08,714.6551724
184,accepted,@ksEpt@d,8,10.43,630
185,accepting,@ksEptIN,9,8.94,697.0344828
186,accepts,@ksEpts,7,8.43,724.7
187,access,aksEs,6,12.06,674.3333333
188,accesses,aksEs@z,8,7.77,822.826087
189,accessible,@ksEs@bL,10,9.28,691.5517241
190,accessions,@ksESnz,10,3.87,938.4583333
191,accessories,@ksEs#riz,11,8.65,768.8275862
192,accessors,aksEs#z,9,5.15,931.8333333
193,accessory,@ksEs#ri,9,7.2,805
194,accident,aks@dnt,8,9.32,618.7931034
195,accidental,aks@dEntL,10,7.76,650.25
196,accidentally,aks@dEntLi,12,8.4,663.0689655
197,accidents,aks@dnts,9,8.33,640.8
198,acclaim,@klem,7,6.79,772.8
199,acclaimed,@klemd,9,6.96,679.4230769
200,acclaims,@klemz,8,1.95,900.9032258
201,acclamation,akl@meSn,11,3.26,905.6666667
202,acclimate,akl@met,9,4.57,903.2
203,acclimatized,@kl!m@t!zd,12,2.83,1116.5
204,accolade,ak@led,8,6.56,867.5238095
205,accolades,ak@ledz,9,5.42,911.76
206,accommodate,@kAm@det,11,7.81,705.0357143
207,accommodated,@kAm@det@d,12,5.71,728.5357143
208,accommodates,@kAm@dets,12,4.91,782.75
212,accompanied,@kVmp@nid,11,8.4,834.84
213,accompanies,@kVmp@niz,11,6.58,738.52
216,accompanist,@kVmp@nIst,11,5.05,872.3043478
217,accompanists,@kVmp@nIsts,12,4.29,1016.705882
218,accompany,@kVmp@ni,9,7.67,688.2903226
219,accompanying,@kVmp@niIN,12,8,788.88
220,accomplice,@kAmplIs,10,5.64,743.4074074
221,accomplices,@kAmplIs@z,11,5.39,805.8333333
222,accomplish,@kAmplIS,10,8.96,624.1333333
223,accomplished,@kAmplISt,12,8.85,818.2666667
224,accomplishes,@kAmplIS@z,12,6.38,679.8571429
228,accord,@kOrd,6,8.17,595.7777778
229,accordance,@kOrdns,10,8.49,758.5666667
230,accorded,@kOrt@d,8,6.33,764.7333333
231,according,@kOrtIN,9,11.08,628.1333333
232,accordingly,@kOrtINli,11,8.54,655.7142857
233,accordion,@kOrti@n,9,6.38,911.9655172
234,accords,@kOrdz,7,6.88,640.2142857
235,accost,@kOst,6,3.43,715.6923077
236,accosted,@kOst@d,8,5.12,833.9583333
237,accosting,@kOstIN,9,3.18,837.5555556
238,account,@k0nt,7,11.02,656.3793103
240,accountable,@k0nt@bL,11,7.76,707.9333333
241,accountant,@k0ntnt,10,7.33,801.1666667
242,accountants,@k0ntnts,11,7.32,789.6538462
243,accounted,@k0nt@d,9,7.31,668.7333333
244,accounting,@k0ntIN,10,9.66,736.1785714
245,accounts,@k0nts,8,9.8,660.9032258
246,accredit,@krEt@t,8,3.56,682.2222222
248,accredited,@krEt@t@d,10,6.96,808.7407407
249,accrue,@kru,6,6.42,732.4285714
250,accrued,@krud,7,5.44,738.7619048
251,accrues,@kruz,7,4.14,802.6190476
252,accruing,@kruIN,8,5.04,873.5
253,acculturated,@kVlCuret@d,12,3.18,1214.52381
255,accumulate,@kjumj@let,10,7.24,802.0645161
256,accumulated,@kjumj@let@d,11,7.67,934.5714286
257,accumulates,@kjumj@lets,11,5.52,825.84
258,accumulating,@kjumj@letIN,12,6.32,854.2333333
259,accumulation,@kjumj@leSn,12,7.1,904.84375
260,accuracy,akj@r@si,8,9.26,590.25
261,accurate,akj@r@t,8,9.98,679.8125
262,accurately,akj@r@tli,10,8.59,771.7096774
263,accurst,@k#st,7,1.39,813
264,accusation,akj@zeSn,10,7.69,777.5862069
265,accusations,akj@zeSnz,11,8.15,865.3103448
266,accusative,@kjuz@tIv,10,4.63,1168.454545
267,accuse,@kjuz,6,8.24,635.1153846
268,accused,@kjuzd,7,9.12,704.4166667
269,accuses,@kjuz@z,7,6.7,733.36
270,accusing,@kjuzIN,8,7.74,640.5185185
271,accusingly,@kjuzINli,10,3.66,797.7586207
272,accustom,@kVst@m,8,4.32,721.9642857
273,accustomed,@kVst@md,10,7.43,748.8846154
274,ace,es,3,8.85,623.0740741
275,acerbic,@s#bIk,7,4.33,1254.733333
276,aces,es@z,4,7.52,689
277,acetate,as@tet,7,6.3,1026.925926
278,acetone,asIton,7,6.05,887.6
279,acetylene,@sEt@lin,9,4.41,1450.272727
280,ache,ek,4,6.74,677.1612903
281,ached,ekt,5,5.69,693.9666667
282,aches,eks,5,6.04,789.6956522
283,achieve,@Civ,7,9.65,713
284,achieved,@Civd,8,9.02,684.8965517
285,achievement,@Civm@nt,11,8.28,823.1
286,achievements,@Civm@nts,12,7.64,852.1481481
287,achieves,@Civz,8,6.64,851.8571429
288,achieving,@CivIN,9,8.06,632.5925926
289,Achilles,@kIliz,8,6.53,880.8823529
290,aching,ekIN,6,7,850.8275862
291,acid,as@d,4,9.52,588
292,acidic,@sItIk,6,6.7,950.2333333
293,acidity,@sIt@ti,7,5.55,766.3571429
294,acids,as@dz,5,7.75,742.0689655
295,acknowledge,@knAlIJ,11,8.82,645.4642857
296,acknowledged,@knAlIJd,12,8.28,659.1666667
298,acknowledges,@knAlIJ@z,12,6.97,774.9333333
302,acme,akmi,4,6.81,810.1538462
303,acne,akni,4,6.28,671.7857143
304,acolyte,ak@l!t,7,6.1,939.3125
305,acorn,ekOrn,5,9.02,707.1481481
306,acorns,ekOrnz,6,5.88,701.2068966
307,acoustic,@kustIk,8,8.59,758.7586207
308,acoustical,@kustIkL,10,5.6,974.5357143
309,acoustically,@kustIkli,12,5.06,870.0740741
310,acoustics,@kustIks,9,7.12,879.8333333
311,acquaint,@kwent,8,5.12,881
312,acquaintance,@kwentns,12,7.15,771.0333333
313,acquainted,@kwent@d,10,6.93,690.3214286
314,acquiesce,akwiEs,9,4.68,989.3076923
315,acquiesced,akwiEst,10,4.71,783.6363636
316,acquiescence,akwiEsns,12,4.51,1059.52381
317,acquiescent,akwiEsnt,11,2.94,1148.263158
318,acquire,@kw!r,7,8.78,629.4827586
319,acquired,@kw!rd,8,8.76,569.4615385
320,acquires,@kw!rz,8,6.13,823.5862069
321,acquiring,@kw!rIN,9,7.58,690.9310345
322,acquisition,akw@zISn,11,8.52,836.6
323,acquisitions,akw@zISnz,12,7,944
324,acquisitive,@kwIz@tIv,11,3.69,992.5
326,acquit,@kwIt,6,4.61,763.2258065
327,acquittal,@kwItL,9,5.52,920.12
328,acquitted,@kwIt@d,9,6.41,643.7407407
329,acre,ek#,4,7.35,855.4642857
330,acreage,ek#IJ,7,5.44,930.6666667
331,acres,ek#z,5,8.28,742.6451613
332,acrid,akrId,5,4.71,797.1666667
