ELPcode,syll,conson,sonor,nasal,anter,coronal,continu,delrel,stridnt,voice,asp,lateral,high,low,back,round,tense,reduced
a,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
b,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
C,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
O,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
d,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
D,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
e,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
E,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
f,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
g,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
N,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
h,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
i,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
I,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
J,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
k,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
l,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
L,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
m,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
n,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
o,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
p,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
s,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
S,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
t,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
T,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
u,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
U,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
v,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
w,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
V,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
@,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
j,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
z,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
Z,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
!,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
Y,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
#,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
_,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
